nodeName	altName	nodeAttr[nodesPresent, ]
MAD1L1	NA	red
MAF1	NA	red
MAFB	NA	red
MAFG	NA	red
MAFK	NA	red
MAGEF1	NA	red
MAGI1	NA	red
MAGI3	NA	red
MAK	NA	red
MAL2	NA	red
MALSU1	NA	red
MAML3	NA	red
MAMSTR	NA	red
MAN1A1	NA	red
MAN1A2	NA	red
MAN1C1	NA	red
MANBA	NA	red
MANSC1	NA	red
MAP2K1	NA	red
MAP2K3	NA	red
MAP3K13	NA	red
MAP3K2	NA	red
MAP3K4	NA	red
MAP3K7	NA	red
MAPK11	NA	red
MAPK14	NA	red
MAPK4	NA	red
MAPK8	NA	red
MAPK9	NA	red
MAPKAPK2	NA	red
MAPRE1	NA	red
MARCHF1	NA	red
MARCHF7	NA	red
MARK3	NA	red
MAST2	NA	red
MAT1A	NA	red
MAT2A	NA	red
MAX	NA	red
MBD1	NA	red
MBD5	NA	red
MBNL1	NA	red
MBNL2	NA	red
MBTD1	NA	red
MC1R	NA	red
MCEE	NA	red
MCL1	NA	red
MCM6	NA	red
MCM7	NA	red
MCPH1	NA	red
MCRS1	NA	red
MDM2	NA	red
MDM4	NA	red
MEAF6	NA	red
MECR	NA	red
MED13	NA	red
MED16	NA	red
MED19	NA	red
MEST	NA	red
METTL13	NA	red
METTL16	NA	red
METTL21A	NA	red
METTL3	NA	red
METTL9	NA	red
MEX3C	NA	red
MFAP1	NA	red
MFGE8	NA	red
MFN2	NA	red
MFSD10	NA	red
MFSD12	NA	red
MFSD14A	NA	red
MFSD14B	NA	red
